Date;PX_LAST
02.06.2010;25.59
03.06.2010;25.83
04.06.2010;24.7
07.06.2010;24.795
08.06.2010;24.69
09.06.2010;25.33
10.06.2010;25.8735
11.06.2010;25.56
14.06.2010;25.64
15.06.2010;26.16
16.06.2010;26.64
17.06.2010;26.715
18.06.2010;26.65
21.06.2010;26.64
22.06.2010;26.45
23.06.2010;25.82
24.06.2010;25.895
25.06.2010;26.575
28.06.2010;26.305
29.06.2010;25.425
30.06.2010;25.49
01.07.2010;24.54
02.07.2010;24.38
06.07.2010;24.33
07.07.2010;24.975
08.07.2010;25.44
09.07.2010;25.43
12.07.2010;25.315
13.07.2010;25.945
14.07.2010;25.91
15.07.2010;25.65
16.07.2010;25.31
19.07.2010;25.615
20.07.2010;25.77
21.07.2010;25.575
22.07.2010;26.305
23.07.2010;26.28
26.07.2010;26.21
27.07.2010;25.775
28.07.2010;25.65
29.07.2010;26.245
30.07.2010;26.46
02.08.2010;27.33
04.08.2010;27.795
05.08.2010;27.66
06.08.2010;27.26
09.08.2010;27.385
10.08.2010;26.975
11.08.2010;26.27
12.08.2010;25.58
13.08.2010;25.55
16.08.2010;25.4
17.08.2010;25.945
18.08.2010;25.84
19.08.2010;25.405
20.08.2010;25.06
23.08.2010;24.79
24.08.2010;24.34
25.08.2010;24.765
26.08.2010;25.35
27.08.2010;25.785
30.08.2010;25.87
31.08.2010;25.1
01.09.2010;25.75
02.09.2010;25.67
03.09.2010;25.595
07.09.2010;26
09.09.2010;26.08
13.09.2010;26.555
14.09.2010;26.57
15.09.2010;26.67
16.09.2010;26.335
20.09.2010;26.6653
21.09.2010;26.49
29.09.2010;27.1125
01.10.2010;27.85
06.10.2010;28.5349
07.10.2010;27.965
08.10.2010;28.12
14.10.2010;28.165
19.10.2010;27.1001
21.10.2010;27.35
25.10.2010;27.9
27.10.2010;27.515
28.10.2010;27.94
29.10.2010;27.775
01.11.2010;28.465
04.11.2010;29.4594
05.11.2010;29.42
09.11.2010;29.345
10.11.2010;29.79
11.11.2010;29.78
12.11.2010;28.755
15.11.2010;29.13
17.11.2010;27.765
22.11.2010;27.94
23.11.2010;27.88
24.11.2010;28.295
26.11.2010;28.52
29.11.2010;28.75
30.11.2010;28.75
01.12.2010;29.5455
02.12.2010;30.1701
03.12.2010;30.48
06.12.2010;30.48
07.12.2010;30.345
08.12.2010;30.115
09.12.2010;30.3947
10.12.2010;30.205
13.12.2010;30.45
14.12.2010;30.46
15.12.2010;30.565
16.12.2010;30.6
17.12.2010;30.49
20.12.2010;30.375
21.12.2010;31.055
22.12.2010;31.155
23.12.2010;31.41
27.12.2010;31.075
28.12.2010;31.405
29.12.2010;31.355
30.12.2010;30.855
31.12.2010;31.225
03.01.2011;31.645
04.01.2011;30.93
05.01.2011;31.8
06.01.2011;31.34
07.01.2011;31.135
10.01.2011;31.6124
11.01.2011;32.33
12.01.2011;32.45
13.01.2011;32.275
14.01.2011;32.795
18.01.2011;32.475
19.01.2011;32.735
20.01.2011;32.17
21.01.2011;32.5149
24.01.2011;32.155
25.01.2011;31.74
26.01.2011;32.6155
27.01.2011;32.44
28.01.2011;33.105
31.01.2011;33.505
01.02.2011;33.8025
02.02.2011;34.16
03.02.2011;33.91
04.02.2011;33.32
07.02.2011;33.19
08.02.2011;33.475
09.02.2011;34.05
10.02.2011;33.7699
11.02.2011;33.5955
14.02.2011;34.2795
15.02.2011;33.81
16.02.2011;34.5799
17.02.2011;34.305
18.02.2011;34.235
22.02.2011;35.3149
23.02.2011;37.175
24.02.2011;36.615
25.02.2011;37.2899
28.02.2011;37.1594
01.03.2011;38.62
02.03.2011;38.68
03.03.2011;38.163
04.03.2011;38.53
07.03.2011;38.08
08.03.2011;37.505
09.03.2011;38.48
10.03.2011;38.17
11.03.2011;37.6151
14.03.2011;37.735
15.03.2011;36.1899
16.03.2011;36.855
17.03.2011;38.175
18.03.2011;37.95
21.03.2011;38.091
22.03.2011;38.495
23.03.2011;38.2826
24.03.2011;38.4
25.03.2011;38.4701
28.03.2011;38.045
29.03.2011;38.2401
30.03.2011;38.1965
31.03.2011;38.91
01.04.2011;39.4324
04.04.2011;40.105
05.04.2011;40.376
06.04.2011;40.4704
07.04.2011;40.63
08.04.2011;42.055
11.04.2011;40.9301
12.04.2011;40.0199
13.04.2011;40.6749
14.04.2011;40.6528
15.04.2011;41.04
18.04.2011;40.49
19.04.2011;40.275
20.04.2011;41.18
21.04.2011;41.215
25.04.2011;41.115
26.04.2011;41.19
27.04.2011;41.765
28.04.2011;41.534
29.04.2011;41.8555
02.05.2011;41.481
03.05.2011;40.65
04.05.2011;40.1351
05.05.2011;36.33
06.05.2011;36.45
09.05.2011;38.55
10.05.2011;38.9675
11.05.2011;37.5695
12.05.2011;37.4498
13.05.2011;37.782
16.05.2011;36.74
17.05.2011;36.71
18.05.2011;37.315
19.05.2011;37.115
20.05.2011;37.505
23.05.2011;36.6999
24.05.2011;37.396
25.05.2011;38.225
26.05.2011;38.28
27.05.2011;38.26
31.05.2011;38.775
01.06.2011;38.0816
02.06.2011;38.475
03.06.2011;38.61
06.06.2011;37.93
07.06.2011;38.805
08.06.2011;39.23
09.06.2011;39.79
10.06.2011;39.405
13.06.2011;39.465
14.06.2011;39.79
15.06.2011;37.9294
16.06.2011;38.0401
17.06.2011;37.7823
20.06.2011;37.24
21.06.2011;36.825
22.06.2011;37.905
23.06.2011;36.015
24.06.2011;35.215
27.06.2011;35.535
28.06.2011;36.258
29.06.2011;37.475
30.06.2011;37.38
01.07.2011;37.215
05.07.2011;37.825
06.07.2011;37.855
07.07.2011;39.345
08.07.2011;39.335
11.07.2011;38.86
12.07.2011;38.89
13.07.2011;39.34
14.07.2011;38.87
15.07.2011;39.31
18.07.2011;38.855
19.07.2011;39.185
20.07.2011;39.5
21.07.2011;39.4215
22.07.2011;39.655
25.07.2011;39.32
26.07.2011;39.5646
27.07.2011;39.285
28.07.2011;39.18
29.07.2011;38.975
01.08.2011;39.075
02.08.2011;38.76
03.08.2011;37.805
04.08.2011;35.925
05.08.2011;36.53
08.08.2011;34.615
09.08.2011;34.93
10.08.2011;35.315
11.08.2011;36.07
12.08.2011;36.015
15.08.2011;36.71
16.08.2011;36.59
17.08.2011;37.005
18.08.2011;35.625
19.08.2011;36.395
22.08.2011;36.155
23.08.2011;36.83
24.08.2011;36.775
25.08.2011;36.94
26.08.2011;37.1275
29.08.2011;37.51
30.08.2011;38.1
31.08.2011;38.275
01.09.2011;38.155
02.09.2011;37.61
06.09.2011;37.865
07.09.2011;38.72
08.09.2011;38.05
09.09.2011;37.34
12.09.2011;37.28
13.09.2011;36.945
14.09.2011;36.885
15.09.2011;37.8
16.09.2011;37.785
19.09.2011;36.815
20.09.2011;37.155
21.09.2011;36.87
22.09.2011;35.475
23.09.2011;35.055
26.09.2011;35.3
27.09.2011;36.005
28.09.2011;34.835
29.09.2011;35.145
30.09.2011;33.82
03.10.2011;33.7
04.10.2011;34.03
05.10.2011;34.665
06.10.2011;35.73
07.10.2011;35.675
10.10.2011;36.7224
11.10.2011;36.9
12.10.2011;37.2
13.10.2011;37.425
14.10.2011;38.66
17.10.2011;37.71
18.10.2011;38.155
19.10.2011;37.26
20.10.2011;37.655
21.10.2011;37.7247
24.10.2011;38.1555
25.10.2011;38.04
26.10.2011;37.46
27.10.2011;38.4
28.10.2011;37.765
31.10.2011;37.5
01.11.2011;37.21
02.11.2011;37.485
03.11.2011;37.945
04.11.2011;38.48
07.11.2011;39.397
08.11.2011;39.55
09.11.2011;38.495
10.11.2011;38.835
11.11.2011;39.1463
14.11.2011;38.475
15.11.2011;38.985
16.11.2011;38.4155
17.11.2011;37.445
18.11.2011;37.3
21.11.2011;37.14
22.11.2011;37.85
23.11.2011;37.185
25.11.2011;36.69
28.11.2011;37.66
29.11.2011;38.375
30.11.2011;38.225
01.12.2011;37.755
02.12.2011;38.175
05.12.2011;38
06.12.2011;38.2675
07.12.2011;37.96
08.12.2011;37.205
09.12.2011;37.72
12.12.2011;37.24
13.12.2011;37.78
14.12.2011;36.12
15.12.2011;35.84
16.12.2011;36.025
19.12.2011;35.905
20.12.2011;37.1306
21.12.2011;37.43
22.12.2011;37.35
23.12.2011;37.35
27.12.2011;37.86
28.12.2011;37.26
29.12.2011;37.465
30.12.2011;37.32
03.01.2012;38.955
04.01.2012;39.48
05.01.2012;39.125
06.01.2012;39.425
09.01.2012;39.045
10.01.2012;39.34
11.01.2012;39.13
12.01.2012;38.455
13.01.2012;38.63
17.01.2012;38.785
18.01.2012;38.61
19.01.2012;38.84
20.01.2012;38.34
23.01.2012;38.575
24.01.2012;38.365
25.01.2012;38.44
26.01.2012;38.635
27.01.2012;38.82
30.01.2012;38.6
31.01.2012;38.645
01.02.2012;38.893
02.02.2012;39.1
03.02.2012;39.85
06.02.2012;40.4995
07.02.2012;40.45
08.02.2012;40.845
09.02.2012;41.27
10.02.2012;40.8513
13.02.2012;40.885
14.02.2012;41.04
15.02.2012;41.565
16.02.2012;41.905
17.02.2012;41.72
21.02.2012;42.2825
22.02.2012;42.87
23.02.2012;43.2
24.02.2012;43.74
27.02.2012;43.055
28.02.2012;42.475
29.02.2012;42.915
01.03.2012;44.2891
02.03.2012;43.235
05.03.2012;43.3385
06.03.2012;42.68
07.03.2012;43.415
08.03.2012;43.85
09.03.2012;44.045
12.03.2012;43.81
13.03.2012;44.11
14.03.2012;43.745
15.03.2012;43.04
16.03.2012;44.28
19.03.2012;44.075
20.03.2012;43.62
21.03.2012;43.52
22.03.2012;43.21
23.03.2012;43.93
26.03.2012;44.125
27.03.2012;43.975
28.03.2012;43.6549
29.03.2012;43.035
30.03.2012;43.15
02.04.2012;44.08
03.04.2012;43.885
04.04.2012;43.095
05.04.2012;43.36
09.04.2012;43.05
10.04.2012;42.1455
11.04.2012;42.18
12.04.2012;42.88
13.04.2012;42.82
16.04.2012;41.745
17.04.2012;41.85
18.04.2012;41.635
19.04.2012;41.64
20.04.2012;41.9
23.04.2012;41.845
24.04.2012;41.64
25.04.2012;41.945
26.04.2012;42.265
27.04.2012;42.11
30.04.2012;42.1
01.05.2012;42.155
02.05.2012;41.655
03.05.2012;40.935
04.05.2012;39.905
07.05.2012;39.905
08.05.2012;39.805
09.05.2012;39.693
10.05.2012;39.605
11.05.2012;39.475
14.05.2012;39.025
15.05.2012;39.23
16.05.2012;38.555
17.05.2012;37.845
18.05.2012;37.72
21.05.2012;38.6304
22.05.2012;38.17
23.05.2012;37.515
24.05.2012;37.72
25.05.2012;37.774
29.05.2012;37.685
30.05.2012;36.43
31.05.2012;35.97
01.06.2012;34.83
04.06.2012;34.98
05.06.2012;34.885
06.06.2012;35.585
07.06.2012;35.085
08.06.2012;35.345
11.06.2012;34.165
12.06.2012;34.445
13.06.2012;34.185
14.06.2012;34.675
15.06.2012;34.555
18.06.2012;34
19.06.2012;33.995
20.06.2012;32.83
21.06.2012;31.725
22.06.2012;32.47
25.06.2012;32.395
26.06.2012;32.995
27.06.2012;33.2
28.06.2012;32.585
29.06.2012;34.595
02.07.2012;34.495
03.07.2012;35.74
05.07.2012;35.5803
06.07.2012;34.675
09.07.2012;35.29
10.07.2012;34.685
11.07.2012;35.62
12.07.2012;35.56
13.07.2012;36.145
16.07.2012;36.755
17.07.2012;36.845
18.07.2012;37.42
19.07.2012;38.285
20.07.2012;37.865
23.07.2012;36.795
24.07.2012;36.87
25.07.2012;37.075
26.07.2012;37.46
27.07.2012;37.8001
30.07.2012;37.63
31.07.2012;37.015
01.08.2012;37.495
02.08.2012;37.64
03.08.2012;38.665
06.08.2012;38.975
07.08.2012;39.695
08.08.2012;39.735
09.08.2012;40.28
10.08.2012;40.18
13.08.2012;40.205
14.08.2012;40.42
15.08.2012;41.2
16.08.2012;41.205
17.08.2012;40.9804
20.08.2012;40.91
21.08.2012;41.215
22.08.2012;41.405
23.08.2012;41.3
24.08.2012;40.775
27.08.2012;40.425
28.08.2012;40.5475
29.08.2012;40.555
30.08.2012;40.61
31.08.2012;41.27
04.09.2012;41.085
05.09.2012;40.765
06.09.2012;40.6008
07.09.2012;41.19
10.09.2012;41.27
11.09.2012;41.43
12.09.2012;41.585
13.09.2012;41.82
14.09.2012;42.2049
17.09.2012;40.92
18.09.2012;40.47
19.09.2012;39.005
20.09.2012;39.91
21.09.2012;40.29
24.09.2012;39.64
25.09.2012;39.765
26.09.2012;39.65
27.09.2012;40.56
28.09.2012;40.505
01.10.2012;40.49
02.10.2012;40.215
03.10.2012;39
04.10.2012;40.579
05.10.2012;40.37
08.10.2012;40.44
09.10.2012;41.165
10.10.2012;41.16
11.10.2012;41.78
12.10.2012;41.3518
15.10.2012;41.56
16.10.2012;41.38
17.10.2012;41.105
18.10.2012;40.855
19.10.2012;40.03
22.10.2012;39.9
23.10.2012;39.29
24.10.2012;39.17
25.10.2012;39.47
26.10.2012;39.845
31.10.2012;39.435
01.11.2012;39.31
02.11.2012;38.455
05.11.2012;39.235
06.11.2012;40.33
07.11.2012;38.765
08.11.2012;38.85
09.11.2012;39.745
12.11.2012;39.5501
13.11.2012;39.215
14.11.2012;39.735
15.11.2012;39.495
16.11.2012;39.97
19.11.2012;40.895
20.11.2012;40.275
21.11.2012;40.61
23.11.2012;40.765
26.11.2012;40.5351
27.11.2012;40.215
28.11.2012;40.135
29.11.2012;40.45
30.11.2012;40.68
03.12.2012;40.555
04.12.2012;40.14
05.12.2012;39.76
06.12.2012;39.155
07.12.2012;39.22
10.12.2012;39.18
11.12.2012;39.428
12.12.2012;39.865
13.12.2012;39.385
14.12.2012;39.9001
17.12.2012;39.83
18.12.2012;40.195
19.12.2012;40.655
20.12.2012;40.615
21.12.2012;40.26
24.12.2012;40.105
26.12.2012;41.06
27.12.2012;40.99
28.12.2012;40.8299
31.12.2012;41.035
02.01.2013;41.425
03.01.2013;41.22
04.01.2013;41.045
07.01.2013;41.1943
08.01.2013;41.42
09.01.2013;41.26
10.01.2013;41.33
11.01.2013;40.91
14.01.2013;41.32
15.01.2013;40.885
16.01.2013;40.907
17.01.2013;41.375
18.01.2013;41.7
22.01.2013;41.875
23.01.2013;42.05
24.01.2013;42.185
25.01.2013;42.23
28.01.2013;42.25
29.01.2013;42.53
30.01.2013;42.865
31.01.2013;43.075
01.02.2013;43.45
04.02.2013;43.03
05.02.2013;43.41
06.02.2013;43.55
07.02.2013;43.695
08.02.2013;44.205
11.02.2013;44.015
12.02.2013;44.185
13.02.2013;44.29
14.02.2013;44.33
15.02.2013;44.255
19.02.2013;44.005
20.02.2013;43.215
21.02.2013;42.67
22.02.2013;42.87
25.02.2013;42.66
26.02.2013;42.295
27.02.2013;42.03
28.02.2013;41.73
01.03.2013;41.495
04.03.2013;41.33
05.03.2013;41.915
06.03.2013;41.67
07.03.2013;41.725
08.03.2013;41.655
11.03.2013;41.455
12.03.2013;41.345
13.03.2013;40.945
14.03.2013;41.32
15.03.2013;41.64
18.03.2013;41.38
19.03.2013;40.68
20.03.2013;41.11
21.03.2013;40.595
22.03.2013;40.735
25.03.2013;40.84
26.03.2013;41.3382
27.03.2013;41.525
28.03.2013;41.585
01.04.2013;41.955
02.04.2013;41.755
03.04.2013;40.525
04.04.2013;40.29
05.04.2013;39.585
08.04.2013;39.8
09.04.2013;40.225
10.04.2013;40.065
11.04.2013;39.55
12.04.2013;38.98
15.04.2013;37.865
16.04.2013;37.9
17.04.2013;37.005
18.04.2013;37.81
19.04.2013;37.648
22.04.2013;38.09
23.04.2013;38.015
