Date,"Euro Area, FX Spot Rates, Macrobond, EUR per USD"
08/06/2018,0.8499
07/06/2018,0.8454
06/06/2018,0.8488
05/06/2018,0.8571
04/06/2018,0.8549
01/06/2018,0.8574
31/05/2018,0.8566
30/05/2018,0.8612
29/05/2018,0.8647
28/05/2018,0.8605
25/05/2018,0.8579
24/05/2018,0.853
23/05/2018,0.8544
22/05/2018,0.8494
21/05/2018,0.8509
18/05/2018,0.8496
17/05/2018,0.848
16/05/2018,0.8484
15/05/2018,0.8431
14/05/2018,0.8355
11/05/2018,0.8372
10/05/2018,0.8419
09/05/2018,0.8435
08/05/2018,0.8435
07/05/2018,0.8393
04/05/2018,0.8383
03/05/2018,0.8367
02/05/2018,0.8364
01/05/2018,0.8339
30/04/2018,0.8277
27/04/2018,0.8264
26/04/2018,0.8254
25/04/2018,0.8215
24/04/2018,0.8187
23/04/2018,0.8183
20/04/2018,0.8144
19/04/2018,0.8088
18/04/2018,0.8079
17/04/2018,0.81
16/04/2018,0.8086
13/04/2018,0.8112
12/04/2018,0.8119
11/04/2018,0.8075
10/04/2018,0.8097
09/04/2018,0.8123
06/04/2018,0.8155
05/04/2018,0.8177
04/04/2018,0.8131
03/04/2018,0.8149
02/04/2018,0.8123
30/03/2018,0.8116
29/03/2018,0.8132
28/03/2018,0.8097
27/03/2018,0.8069
26/03/2018,0.8037
23/03/2018,0.8091
22/03/2018,0.8123
21/03/2018,0.8151
20/03/2018,0.8149
19/03/2018,0.8112
16/03/2018,0.8143
15/03/2018,0.8117
14/03/2018,0.809
13/03/2018,0.8066
12/03/2018,0.8118
09/03/2018,0.8119
08/03/2018,0.8113
07/03/2018,0.8063
06/03/2018,0.8065
05/03/2018,0.8112
02/03/2018,0.8124
01/03/2018,0.8212
28/02/2018,0.8199
27/02/2018,0.8172
26/02/2018,0.8137
23/02/2018,0.8131
22/02/2018,0.8115
21/02/2018,0.8118
20/02/2018,0.8103
19/02/2018,0.8066
16/02/2018,0.8034
15/02/2018,0.8014
14/02/2018,0.8062
13/02/2018,0.8092
12/02/2018,0.8146
09/02/2018,0.8163
08/02/2018,0.8156
07/02/2018,0.8135
06/02/2018,0.81
05/02/2018,0.8052
02/02/2018,0.8042
01/02/2018,0.802
31/01/2018,0.8029
30/01/2018,0.8059
29/01/2018,0.8093
26/01/2018,0.8043
25/01/2018,0.7997
24/01/2018,0.8076
23/01/2018,0.8135
22/01/2018,0.8162
19/01/2018,0.8183
18/01/2018,0.817
17/01/2018,0.8168
16/01/2018,0.8176
15/01/2018,0.8154
12/01/2018,0.8231
11/01/2018,0.83
10/01/2018,0.8345
09/01/2018,0.8382
08/01/2018,0.835
05/01/2018,0.8308
04/01/2018,0.8282
03/01/2018,0.8317
02/01/2018,0.8302
01/01/2018,0.8342
29/12/2017,0.8327
28/12/2017,0.8377
27/12/2017,0.8407
26/12/2017,0.8428
25/12/2017,0.8425
22/12/2017,0.8449
21/12/2017,0.8432
20/12/2017,0.8415
19/12/2017,0.8467
18/12/2017,0.8465
15/12/2017,0.85
14/12/2017,0.8491
13/12/2017,0.8505
12/12/2017,0.8525
11/12/2017,0.8478
08/12/2017,0.8509
07/12/2017,0.8482
06/12/2017,0.8483
05/12/2017,0.8451
04/12/2017,0.8438
01/12/2017,0.8428
30/11/2017,0.8389
29/11/2017,0.8439
28/11/2017,0.8426
27/11/2017,0.8392
24/11/2017,0.838
23/11/2017,0.8443
22/11/2017,0.8485
21/11/2017,0.8528
20/11/2017,0.8512
17/11/2017,0.8489
16/11/2017,0.8493
15/11/2017,0.8474
14/11/2017,0.8507
13/11/2017,0.8573
10/11/2017,0.8576
09/11/2017,0.8602
08/11/2017,0.863
07/11/2017,0.8636
06/11/2017,0.863
03/11/2017,0.8609
02/11/2017,0.8567
01/11/2017,0.8608
31/10/2017,0.8582
30/10/2017,0.86
27/10/2017,0.8633
26/10/2017,0.8544
25/10/2017,0.8466
24/10/2017,0.8504
23/10/2017,0.8515
20/10/2017,0.8484
19/10/2017,0.8437
18/10/2017,0.8491
17/10/2017,0.851
16/10/2017,0.8475
13/10/2017,0.8449
12/10/2017,0.8441
11/10/2017,0.8442
10/10/2017,0.8461
09/10/2017,0.852
06/10/2017,0.8523
05/10/2017,0.8536
04/10/2017,0.8505
03/10/2017,0.8507
02/10/2017,0.8519
29/09/2017,0.8457
28/09/2017,0.8486
27/09/2017,0.8522
26/09/2017,0.85
25/09/2017,0.8429
22/09/2017,0.8357
21/09/2017,0.8386
20/09/2017,0.8339
19/09/2017,0.8348
18/09/2017,0.8364
15/09/2017,0.8358
14/09/2017,0.8422
13/09/2017,0.8394
12/09/2017,0.8366
11/09/2017,0.8346
08/09/2017,0.832
07/09/2017,0.8326
06/09/2017,0.8375
05/09/2017,0.8388
04/09/2017,0.8394
01/09/2017,0.8417
31/08/2017,0.8412
30/08/2017,0.8395
29/08/2017,0.8315
28/08/2017,0.8365
25/08/2017,0.8426
24/08/2017,0.8473
23/08/2017,0.8464
22/08/2017,0.8501
21/08/2017,0.8464
18/08/2017,0.8512
17/08/2017,0.8514
16/08/2017,0.8543
15/08/2017,0.8535
14/08/2017,0.8486
11/08/2017,0.8481
10/08/2017,0.8511
09/08/2017,0.8515
08/08/2017,0.8518
07/08/2017,0.8478
04/08/2017,0.851
03/08/2017,0.8417
02/08/2017,0.8435
01/08/2017,0.8468
31/07/2017,0.848
28/07/2017,0.8512
27/07/2017,0.857
26/07/2017,0.8598
25/07/2017,0.8575
24/07/2017,0.8588
21/07/2017,0.8578
20/07/2017,0.8595
19/07/2017,0.8682
18/07/2017,0.8634
17/07/2017,0.8718
14/07/2017,0.8736
13/07/2017,0.8766
