"Index","Dates","DAX","SPX","UKX","VIX"
"1","02/01/1990",1814.38,359.69,2434.1,17.24
"2","03/01/1990",1869.66,358.76,2463.7,18.19
"3","04/01/1990",1835.88,355.67,2451.6,19.22
"4","05/01/1990",1820,352.2,2444.5,20.11
"5","08/01/1990",1843.24,353.79,2431.3,20.26
"6","09/01/1990",1865.94,349.62,2436.3,22.2
"7","10/01/1990",1839.63,347.31,2412.7,22.44
"8","11/01/1990",1855.83,348.53,2417.9,20.05
"9","12/01/1990",1855.66,339.93,2380,24.64
"10","15/01/1990",1841.61,337,2366.2,26.34
"11","16/01/1990",1788.68,340.75,2349.1,24.18
"12","17/01/1990",1802.48,337.4,2373.9,24.16
"13","18/01/1990",1779.17,338.19,2336.9,24.34
"14","19/01/1990",1773.56,339.15,2335,22.5
"15","22/01/1990",1779.3,330.38,2297.1,26.7
"16","23/01/1990",1801.52,331.61,2291.1,24.72
"17","24/01/1990",1756.41,330.26,2278.6,25.39
"18","25/01/1990",1787.59,326.08,2289.9,25.63
"19","26/01/1990",1794.14,325.8,2314.5,26.28
"20","29/01/1990",1811.55,325.2,2328.8,26.44
"21","30/01/1990",1812.9,322.98,2322,27.25
"22","31/01/1990",1822.78,329.08,2337.3,25.36
"23","01/02/1990",1858.08,328.79,2345.8,24.87
"24","02/02/1990",1910.67,330.92,2355.1,24.32
"25","05/02/1990",1939.43,331.85,2348.4,24.54
"26","06/02/1990",1937.72,329.66,2321.1,24.69
"27","07/02/1990",1900.1,333.75,2307.4,24.29
"28","08/02/1990",1915.79,332.96,2331,23.77
"29","09/02/1990",1885.89,333.62,2313.6,23.69
"30","12/02/1990",1860.39,330.08,2285.9,24.38
"31","13/02/1990",1840.98,331.02,2293.2,23.76
"32","14/02/1990",1832.23,332.01,2298.3,22.05
"33","15/02/1990",1850.96,334.89,2313.8,19.71
"34","16/02/1990",1893.66,332.72,2325.9,20.78
"35","20/02/1990",1823.81,327.99,2277,22.78
"36","21/02/1990",1807.19,327.67,2259.7,23.89
"37","22/02/1990",1820.15,325.7,2269.2,22.54
"38","23/02/1990",1789.64,324.15,2236.7,23.69
"39","26/02/1990",1776.04,328.67,2249.3,23.56
"40","27/02/1990",1804.32,330.26,2254.8,22.69
"41","28/02/1990",1809.92,331.89,2255.4,21.99
"42","01/03/1990",1787.87,332.74,2238.4,21.9
"43","02/03/1990",1818.23,335.54,2254.8,21.34
"44","05/03/1990",1833.16,333.74,2230.5,22.03
"45","06/03/1990",1822.22,337.93,2216,20.55
"46","07/03/1990",1844.72,336.95,2230.3,19.1
"47","08/03/1990",1860.92,340.27,2249.9,19.74
"48","09/03/1990",1858.74,337.93,2234.3,20.3
"49","12/03/1990",1846.08,338.67,2222.4,20.07
"50","13/03/1990",1867.48,336,2224.5,21.05
"51","14/03/1990",1862.84,336.87,2226.1,19.65
"52","15/03/1990",1879.32,338.07,2234.9,18.81
"53","16/03/1990",1889.69,341.91,2263.9,17.62
"54","19/03/1990",1906.77,343.53,2238,18.29
"55","20/03/1990",1908.83,341.57,2259.7,19.06
"56","21/03/1990",1937.99,339.74,2250.3,20.1
"57","22/03/1990",1918.98,335.69,2258.9,22.74
"58","23/03/1990",1932.12,337.22,2283.9,20.46
"59","26/03/1990",1939.53,337.63,2298.2,19.59
"60","27/03/1990",1924.98,341.5,2266.3,21.01
"61","28/03/1990",1928.6,342,2274,19.77
"62","29/03/1990",1953.89,340.79,2263,18.46
"63","30/03/1990",1968.55,339.94,2247.9,19.73
"64","02/04/1990",1931.3,338.7,2221.6,22.84
"65","03/04/1990",1968.33,343.64,2240.7,20.44
"66","04/04/1990",1963.25,341.09,2231.6,22.03
"67","05/04/1990",1958.39,340.73,2239.5,21.21
"68","06/04/1990",1947.84,340.08,2221.1,21.76
"69","09/04/1990",1923.86,341.37,2227.7,22.3
"70","10/04/1990",1898.51,342.07,2217.5,21.69
"71","11/04/1990",1893.77,341.92,2215.5,17.73
"72","12/04/1990",1918.17,344.34,2222.1,19.8
"73","17/04/1990",1914.35,344.68,2214.5,20.38
"74","18/04/1990",1889.76,340.72,2205.9,22.67
"75","19/04/1990",1878.87,338.09,2184.7,22.46
"76","20/04/1990",1884.33,335.12,2187.1,23.33
"77","23/04/1990",1837.5,331.05,2159.2,24.16
"78","24/04/1990",1830.53,330.36,2159.9,21.7
"79","25/04/1990",1843.31,332.03,2143.2,20.86
"80","26/04/1990",1827.07,332.92,2133.6,20.25
"81","27/04/1990",1825.52,329.11,2106.6,22.19
"82","30/04/1990",1813.25,330.8,2103.4,19.52
"83","02/05/1990",1843.41,334.48,2137.5,19.32
"84","03/05/1990",1881.79,335.57,2134.7,17.81
"85","04/05/1990",1912.89,338.39,2162.1,17.28
"86","08/05/1990",1899.28,342.01,2182.3,18.49
"87","09/05/1990",1896.58,342.86,2162.7,18.64
"88","10/05/1990",1893.42,343.82,2157,18.59
"89","11/05/1990",1875.03,352,2175.9,19.81
"90","14/05/1990",1860.33,354.75,2214.5,20.14
"91","15/05/1990",1851.25,354.28,2212.2,19.49
"92","16/05/1990",1841.77,354,2221.1,17.71
"93","17/05/1990",1841.58,354.47,2284.4,17.27
"94","18/05/1990",1843.59,354.64,2269.2,17.2
"95","21/05/1990",1811.18,358,2282,16.72
"96","22/05/1990",1813.26,358.43,2311.3,17.84
"97","23/05/1990",1831.8,359.29,2287.4,17.18
"98","25/05/1990",1823.17,354.58,2265.6,17.32
"99","29/05/1990",1842.74,360.65,2295.6,18.75
"100","30/05/1990",1840.54,360.86,2346,17.44
"101","31/05/1990",1844.41,361.23,2345.2,17.37
"102","01/06/1990",1856.95,363.16,2371.3,17.09
"103","05/06/1990",1876.69,366.64,2380.1,18.97
"104","06/06/1990",1849.02,364.96,2358.5,17.42
"105","07/06/1990",1837.43,363.15,2378.4,16.88
"106","08/06/1990",1822.23,358.71,2366.4,17.58
"107","11/06/1990",1809.66,361.63,2348.9,16.34
"108","12/06/1990",1800.36,366.25,2370.8,16.6
"109","13/06/1990",1787.39,364.9,2405.3,17.38
"110","15/06/1990",1792.26,362.91,2392.3,15.9
"111","18/06/1990",1797.42,356.88,2370.5,17.71
"112","19/06/1990",1836.74,358.47,2369.7,15.23
"113","20/06/1990",1849.55,359.1,2371.4,15.27
"114","21/06/1990",1863.57,360.47,2370.3,14.72
"115","22/06/1990",1872.92,355.43,2378.5,19.36
"116","25/06/1990",1896.21,352.31,2398.5,17.06
"117","26/06/1990",1890.36,352.06,2399.8,16.29
